Felicidad,Tristeza,Miedo,Asco,Enfado,timeBeginMark,timeEndMark,intensity,FramesWithoutVoices,FramesWithVoices,AveragePitch,MaximumPitch,MinimumPitch,StandardDesviationPitch,Nombre
0.47009603306651115,0.3665312589146197,0.40065319929271936,0.10415174532681704,0.157192999497056,0.6,1.8,67.08343157247732,497,52,244.75444794729552,550.7339086202428,79.14623269894982,90.06797586686633,Maria_cadilla_nuevo.wav
0,0,0,0,0,5,10,57.339887739027304,497,5,236.1824292044202,237.29797338463442,235.06229538950063,0.7881099604058157,Maria_cadilla_nuevo.wav
0,0,0,0,0,10,15,0,0,0,0,0,0,0,Maria_cadilla_nuevo.wav
0,0,0,0,0,15,20,30.579730243333984,497,36,345.9905392015539,490.89792985570267,152.12103280325238,97.5320615147003,Maria_cadilla_nuevo.wav
0.5125755970366299,0.34223785903304815,0.2805496985092759,0.10349513124674559,0.13991851545870304,21.8,22.8,39.3051130358883,497,112,267.9802929749873,439.8855565790987,98.18517133443903,78.86830423143842,Maria_cadilla_nuevo.wav
0,0,0,0,0,25,30,29.089217859618014,497,93,297.00926372761563,596.912465317428,87.93932987143339,109.75051219797548,Maria_cadilla_nuevo.wav
0.48491636477410793,0.47014137636870146,0.3299627099186182,0.11618725955486298,0.18866639770567417,31.3,32.3,44.85276509084371,497,106,262.7074789781105,487.5277601983424,152.71630070486856,58.67626223776469,Maria_cadilla_nuevo.wav
0,0,0,0,0,35,40,40.750464595431914,497,113,318.2462743440681,599.9237649411673,101.65954253710352,157.398277507503,Maria_cadilla_nuevo.wav
0.6656397276092321,0.19623425183817744,0.1994481780566275,0.07614284288138151,0.11795631004497409,40.4,43.6,64.7557605557334,497,151,175.08392177394424,588.2095393969378,79.21832051942049,80.72582212820137,Maria_cadilla_nuevo.wav
0,0,0,0,0,45,50,42.14412906523574,497,8,175.26453573358867,224.18079736670683,145.3171182595151,28.95942943252098,Maria_cadilla_nuevo.wav
0,0,0,0,0,50,55,42.5455478503796,497,39,264.88533748784573,420.8725998428563,85.49277281255776,80.31377252538468,Maria_cadilla_nuevo.wav
0.6421141782775521,0.5395729020237923,0.34930107556283474,0.10310141649097204,0.1778233302757144,55.6,57.3,58.128700668822944,497,96,166.43701142863156,558.6014948310842,77.57922258802674,89.52101001295395,Maria_cadilla_nuevo.wav
0.40537022100761533,0.3262648694217205,0.30814678431488574,0.07860066881403327,0.05830464535392821,62.7,63.8,59.7990163017771,497,231,193.57920458604693,589.5996620696814,76.88691674186023,113.72962838392091,Maria_cadilla_nuevo.wav
0.5159421795979142,0.32173269148916006,0.3971940614283085,0.1219861174467951,0.0656239720992744,65.8,70.0,54.11649478923623,497,359,205.46339686217664,593.1533128986196,95.6601500541805,97.31126981047395,Maria_cadilla_nuevo.wav
1.1358136895578355,0.1652709583286196,0.21234861412085593,0.11310240614693612,0.07235428132116795,70.8,75.0,60.47074220761314,497,284,163.13635440587902,558.2428402229228,86.50307821617281,85.81230281874885,Maria_cadilla_nuevo.wav
0.5667728283442557,0.26048930548131466,0.49040655978024006,0.10236167861148715,0.16379000060260296,79.2,80.0,60.25702453263676,497,255,244.4803234401583,598.9192921943335,76.60655868222824,157.66114777852113,Maria_cadilla_nuevo.wav
0.9067745259962976,0.19051645742729306,0.13743758911732584,0.07155333209084347,0.03731790417805314,82.0,85.0,64.84324215462694,497,246,173.2468888452016,479.5489072123043,78.08566991703113,65.8911242935281,Maria_cadilla_nuevo.wav
0.754280355758965,0.3815148826688528,0.7474194969981909,0.3238108907826245,0.127295998390764,85.5,90.0,64.51939056593491,497,243,227.8638975500116,550.6447332521738,98.49549373574364,117.75154860563715,Maria_cadilla_nuevo.wav
0.4477357673458755,0.3640579469501972,0.27791832108050585,0.11121088871732354,0.170776535756886,90.6,91.4,63.133471729513104,497,102,171.36497307130833,489.8085771045348,107.1283334660554,93.37533308420454,Maria_cadilla_nuevo.wav
0.40906663960777223,0.2137723509222269,0.3270625484874472,0.05162154696881771,0.04248619009740651,98.6,100.0,60.04137876600485,497,95,117.4290676194695,180.7831881863967,81.67468948817464,21.66963702537001,Maria_cadilla_nuevo.wav
1.901214950485155,0.2460258969804272,0.3758618213760201,0.33701514918357134,0.019164233992341906,100.6,105.0,63.03330825097123,497,397,205.15145923759627,590.9025463475417,79.04105867858527,145.5732234913194,Maria_cadilla_nuevo.wav
1.13306281901896,0.6426966516301036,0.15765487775206566,0.10209346748888493,0.16526806796900928,106.2,107.3,69.72665360376095,497,149,193.5016301034576,591.790627903496,99.98500397605615,102.12075530439058,Maria_cadilla_nuevo.wav
2.123084415332414,0.40405588038265705,0.31831985351163894,0.20997791609261185,0.01227333300630562,110.4,115.0,74.46184273723836,497,327,178.71459424761483,238.31819635508853,84.36046337735218,30.6187495902934,Maria_cadilla_nuevo.wav
0.9706347266910598,0.23422553535783663,0.3711414876161143,0.1545187623705715,0.025026318326126784,115.3,120.0,75.10214653786042,497,391,184.51395763511562,311.63456290091335,88.62053073893688,29.893772700759303,Maria_cadilla_nuevo.wav
