Felicidad,Tristeza,Miedo,Asco,Enfado,timeBeginMark,timeEndMark,Pitch,Amplitude,Longitud_Onda,Nombre
0,0,0,0,0,0,0,0.24997135744862567,0.007395317365157416,0.007145833333333333,Maria_cadilla_nuevo.wav
0.45732182124629617,0.36766078881919384,0.3463447457179427,0.09798149392008781,0.16036547720432281,1.6,3.0,0.749914072345877,0.017295470694737723,0.007145833333333333,Maria_cadilla_nuevo.wav
0.47009603306651115,0.3665312589146197,0.40065319929271936,0.10415174532681704,0.157192999497056,2.6,3.8,0.24997135744862567,0.01251724862299788,0.007145833333333333,Maria_cadilla_nuevo.wav
0.47009603306651115,0.3665312589146197,0.40065319929271936,0.10415174532681704,0.157192999497056,3.6,4.8,0.49994271489725134,0.0022455247879542184,0.007145833333333333,Maria_cadilla_nuevo.wav
0.47009603306651115,0.3665312589146197,0.40065319929271936,0.10415174532681704,0.157192999497056,4.6,5.8,0.24997135744862567,0.002818177785721104,0.007145833333333333,Maria_cadilla_nuevo.wav
0.7016561022028327,0.3128253361210227,0.34227979462593794,0.09169588051736355,0.1008691880851984,6.3,7.4,0.24997135744862567,0.004267025038623766,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0006986356591803848,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0007011029251244192,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.0008511423830864091,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.00047130930213358296,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5036420952528715,0.39787056390196085,0.2894928464666009,0.10451898910105228,0.16342991031706333,14.2,15.0,0.49994271489725134,0.004097920531650661,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.000759196516784252,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5633915737271309,0.39475666359066963,0.2868931982666254,0.10642923414707184,0.16233113780617714,14.4,15.7,0.24997135744862567,0.00038284627955067146,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0003346250892465193,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.00017856193593894517,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.9998854297945027,0.00022958049469716508,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.00024981353761595196,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.00020951083424362345,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0004141176516121422,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.00017872213975700661,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.00020323650256759982,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0008833894409009351,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5105915381573141,0.3456252161413431,0.2756951078772545,0.1063700569793582,0.14599042851477861,25.8,27.0,0.24997135744862567,0.000437576703557727,0.007145833333333333,Maria_cadilla_nuevo.wav
0.521646034438163,0.3367045000195503,0.265788309276104,0.10123635735362768,0.13560120854526758,25.8,26.6,0.24997135744862567,0.0002160456560563563,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5125755970366299,0.34223785903304815,0.2805496985092759,0.10349513124674559,0.13991851545870304,25.8,26.8,0.24997135744862567,0.00026230657464228354,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5065388726070523,0.4325610138475895,0.3273281939327717,0.10601211991161108,0.18265896942466497,25.6,26.9,0.49994271489725134,0.00024959675387801957,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.749914072345877,0.00027327433781748796,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,1.2498567872431283,0.00024264346316354486,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.749914072345877,0.00023086927719782053,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0002256796588732549,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.0003055005754929601,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0019807728800334684,0.007145833333333333,Maria_cadilla_nuevo.wav
0.46119377110153437,0.4552445076406002,0.3360693175345659,0.11379618989303708,0.19065929064527154,35.3,36.1,0.24997135744862567,0.00023733734741969437,0.007145833333333333,Maria_cadilla_nuevo.wav
0.42261146660894156,0.4481595391407609,0.355388724245131,0.10508190095424652,0.19262258429080248,35.2,36.3,0.24997135744862567,0.0002915785776251693,0.007145833333333333,Maria_cadilla_nuevo.wav
0.48491636477410793,0.47014137636870146,0.3299627099186182,0.11618725955486298,0.18866639770567417,35.3,36.3,0.49994271489725134,0.0004549445139050727,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4701780900359154,0.3640046436339617,0.2632646420970559,0.0983875566162169,0.15977631276473403,35.4,36.1,0.49994271489725134,0.00039811141478596007,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.0004434603794948664,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.749914072345877,0.0011332265005060467,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.00119890243715802,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.749914072345877,0.0006298463965442775,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6405207393690944,0.40079715475440025,0.3538469234481454,0.07863573310896754,0.12492879386991262,44.5,45.0,0.24997135744862567,0.005239521496027043,0.007145833333333333,Maria_cadilla_nuevo.wav
0.2982028187252581,0.26945581939071417,0.35889706667512655,0.04955573915503919,0.15976504003629088,45.1,46.0,0.49994271489725134,0.01139101959640216,0.007145833333333333,Maria_cadilla_nuevo.wav
0.3323574645910412,0.20109238103032112,0.2001659655943513,0.04180332995019853,0.16468895424623042,45.1,47.0,0.24997135744862567,0.024832312398848918,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6416538874618709,0.2083624256774783,0.21839363826438785,0.07708163023926318,0.10611945972777903,44.4,47.6,0.24997135744862567,0.002370940219777776,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6656397276092321,0.19623425183817744,0.1994481780566275,0.07614284288138151,0.11795631004497409,44.4,47.6,0.24997135744862567,0.0007411985396327258,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4548924705013633,0.27890034671872854,0.36374196223914623,0.07263210136443377,0.27103867079131305,45.3,47.6,0.24997135744862567,0.0017132933749643342,0.007145833333333333,Maria_cadilla_nuevo.wav
0.49701983854174614,0.31877525709569454,0.2692306786775589,0.10474261734634638,0.19884374924004078,46.6,47.5,0.24997135744862567,0.00025548106554459596,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.749914072345877,0.0004699381926708682,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.00025638602639781237,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.9998854297945027,0.0002999586041280747,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.49994271489725134,0.0009383849640831163,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.00034018231811788687,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0012755359653142102,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0007664770492262949,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0,0,0.24997135744862567,0.0007166241003903595,0.007145833333333333,Maria_cadilla_nuevo.wav
