Felicidad,Tristeza,Miedo,Asco,Enfado,timeBeginMark,timeEndMark,Pitch,Amplitude,Longitud_Onda,Nombre
0.47009603306651115,0.3665312589146197,0.40065319929271936,0.10415174532681704,0.157192999497056,0.6,1.8,0.04999885419292474,0.00842904216776331,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.04999885419292474,0.001371890546630186,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.04999885419292474,0.0011246548949631501,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.09999770838584948,0.00023029178202160728,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5125755970366299,0.34223785903304815,0.2805496985092759,0.10349513124674559,0.13991851545870304,21.8,22.8,0.04999885419292474,0.000374467040532606,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.04999885419292474,0.00021835445449280047,0.007145833333333333,Maria_cadilla_nuevo.wav
0.48491636477410793,0.47014137636870146,0.3299627099186182,0.11618725955486298,0.18866639770567417,31.3,32.3,0.04999885419292474,0.0006280060822989921,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.04999885419292474,0.0007346985081200745,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6656397276092321,0.19623425183817744,0.1994481780566275,0.07614284288138151,0.11795631004497409,40.4,43.6,0.04999885419292474,0.00888973499192459,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.04999885419292474,0.0005729857131888596,0.007145833333333333,Maria_cadilla_nuevo.wav
0,0,0,0,0,0.09999770838584948,0.0007814342454670391,0.007145833333333333,Maria_cadilla_nuevo.wav
0.6421141782775521,0.5395729020237923,0.34930107556283474,0.10310141649097204,0.1778233302757144,55.6,57.3,0.2499942709646237,0.003196692257316357,0.007145833333333333,Maria_cadilla_nuevo.wav
0.40537022100761533,0.3262648694217205,0.30814678431488574,0.07860066881403327,0.05830464535392821,62.7,63.8,0.04999885419292474,0.005948660007453695,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5159421795979142,0.32173269148916006,0.3971940614283085,0.1219861174467951,0.0656239720992744,65.8,70.0,0.14999656257877422,0.0031900045971247127,0.007145833333333333,Maria_cadilla_nuevo.wav
1.1358136895578355,0.1652709583286196,0.21234861412085593,0.11310240614693612,0.07235428132116795,70.8,75.0,0.09999770838584948,0.005974145907516935,0.007145833333333333,Maria_cadilla_nuevo.wav
0.5667728283442557,0.26048930548131466,0.49040655978024006,0.10236167861148715,0.16379000060260296,79.2,80.0,0.04999885419292474,0.005889819189990476,0.007145833333333333,Maria_cadilla_nuevo.wav
0.9067745259962976,0.19051645742729306,0.13743758911732584,0.07155333209084347,0.03731790417805314,82.0,85.0,0.14999656257877422,0.010994806866461013,0.007145833333333333,Maria_cadilla_nuevo.wav
0.754280355758965,0.3815148826688528,0.7474194969981909,0.3238108907826245,0.127295998390764,85.5,90.0,0.04999885419292474,0.007858692303265117,0.007145833333333333,Maria_cadilla_nuevo.wav
0.4477357673458755,0.3640579469501972,0.27791832108050585,0.11121088871732354,0.170776535756886,90.6,91.4,0.09999770838584948,0.0059911998002256835,0.007145833333333333,Maria_cadilla_nuevo.wav
0.40906663960777223,0.2137723509222269,0.3270625484874472,0.05162154696881771,0.04248619009740651,98.6,100.0,0.04999885419292474,0.004691388442769139,0.007145833333333333,Maria_cadilla_nuevo.wav
1.901214950485155,0.2460258969804272,0.3758618213760201,0.33701514918357134,0.019164233992341906,100.6,105.0,0.09999770838584948,0.009606362601314018,0.007145833333333333,Maria_cadilla_nuevo.wav
1.13306281901896,0.6426966516301036,0.15765487775206566,0.10209346748888493,0.16526806796900928,106.2,107.3,0.04999885419292474,0.010511820400542103,0.007145833333333333,Maria_cadilla_nuevo.wav
2.123084415332414,0.40405588038265705,0.31831985351163894,0.20997791609261185,0.01227333300630562,110.4,115.0,0.09999770838584948,0.03174125242737858,0.007145833333333333,Maria_cadilla_nuevo.wav
